ensgene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000005379.11,288.3391624,0.098714091,0.113903857,0.866643975,0.386137111,0.999968843
ENSG00000005448.12,28.76739235,0.048226246,0.191260929,0.25214897,0.80092592,0.999968843
ENSG00000005469.7,10.92170973,0.038651476,0.288874281,0.133800338,0.89356046,0.999968843
ENSG00000005483.15,90.12139709,-0.039960154,0.168942296,-0.236531375,0.813020364,0.999968843
ENSG00000005486.12,287.0649868,0.030194358,0.149214933,0.202354801,0.839639361,0.999968843
ENSG00000005513.9,77.91058084,-0.270566684,0.527205547,-0.513209099,0.607805061,0.999968843
ENSG00000005700.10,48.24375207,-0.045722651,0.221351966,-0.206560853,0.836352836,0.999968843
ENSG00000005801.12,15.87442986,0.005656524,0.238765936,0.023690665,0.981099352,0.999968843
ENSG00000005810.13,276.8438868,0.100135369,0.236751376,0.422955805,0.672327506,0.999968843
ENSG00000005812.6,64.0389034,-0.022924525,0.175462414,-0.130652057,0.89605056,0.999968843
ENSG00000005882.6,68.88988292,0.030672904,0.154458145,0.198583921,0.842588232,0.999968843
ENSG00000005884.13,32.01648262,0.08536661,0.305406145,0.27951831,0.779847088,0.999968843
ENSG00000005889.11,15.49925913,-0.060862863,0.265589612,-0.22916131,0.818743542,0.999968843
ENSG00000005893.11,212.8633377,-0.280688521,0.585393041,-0.479487288,0.63159201,0.999968843
ENSG00000005955.8,71.22402577,0.002878508,0.135797224,0.021197108,0.983088421,0.999968843
ENSG00000006007.7,117.6531061,-0.030874511,0.136905704,-0.225516616,0.821577401,0.999968843
ENSG00000006015.13,38.65213253,0.007111229,0.198572287,0.035811789,0.971432433,0.999968843
ENSG00000006016.6,38.52389183,0.025011996,0.438254267,0.057071883,0.954487934,0.999968843
ENSG00000006025.7,13.57684749,0.004513903,0.254233133,0.017754977,0.985834322,0.999968843
ENSG00000006042.7,51.13800342,-0.329348249,0.665999039,-0.494517604,0.620940677,0.999968843
ENSG00000006062.9,14.08497981,0.059158824,0.271902954,0.217573305,0.827761586,0.999968843
ENSG00000006071.7,39.35740577,0.110609048,0.291685377,0.379206695,0.704534381,0.999968843
ENSG00000006114.11,57.07967595,-0.057423818,0.182212207,-0.315148028,0.752649264,0.999968843
ENSG00000006116.3,88.53607661,0.116136372,0.266319297,0.436079448,0.662779088,0.999968843
ENSG00000006118.10,200.5107636,0.054241382,0.22352109,0.242667848,0.808262717,0.999968843
