ensgene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol
ENSG00000000003,708.6021696912339,-0.37900387673006897,0.1819960781815034,-2.0824837574361963,0.037298304984862134,0.15865735085215793,TSPAN6
ENSG00000000419,520.2979005520843,0.2034105445457178,0.07941564592387022,2.5613409319960967,0.010426897738574326,0.06270457235608755,DPM1
ENSG00000000457,237.1630367960154,0.03500717346465641,0.10304585341965355,0.3397242324937611,0.7340642110896951,0.9013685768801907,SCYL3
ENSG00000000460,57.93263312509667,-0.11718268140688383,0.3016421745551122,-0.38848241821527413,0.6976590626462293,0.8834633994431885,C1orf112
ENSG00000000971,5817.352867652307,0.4409397867535357,0.3027362327852514,1.4565147445245519,0.14525037664718957,0.3885187463474157,CFH
ENSG00000001036,1282.106385465916,-0.24215077598915752,0.11319869311773245,-2.139165827094031,0.03242224071685703,0.1436594716712876,FUCA2
ENSG00000001084,609.8920919069685,-0.029387408607666067,0.25987259993677087,-0.11308390578620549,0.909964034460927,0.9697430513174415,GCLC
ENSG00000001167,369.3428078452392,-0.4902656628482828,0.22749217419932888,-2.1550880357700195,0.031154945779635897,0.1399426990296809,NFYA
ENSG00000001460,183.2376742492713,-0.13469485190111233,0.15340735207778117,-0.8780208384850998,0.37993241016876433,0.6654196751902668,STPG1
ENSG00000001461,2813.8512219842223,-0.04259495468571648,0.34583366691444023,-0.12316601522851313,0.9019756365431195,0.967574157701735,NIPAL3
ENSG00000001497,539.8235458670999,-0.0014894629126380122,0.07665456973936939,-0.019430843036524564,0.9844974058644417,0.9961241390318591,LAS1L
ENSG00000001561,114.03778409507953,0.2693821046005843,0.8290012391571242,0.3249477707349086,0.745220601208346,0.9057704918328549,ENPP4
ENSG00000001617,598.6681427412942,-0.2473992531547254,0.1784632929385001,-1.386275289899426,0.165662859144192,0.4182398855468023,SEMA3F
ENSG00000001629,1779.8287193589306,-0.22623151925673007,0.1302745110460386,-1.7365754623848144,0.0824621337803148,0.27197680764863225,ANKIB1
ENSG00000001630,54.727728886164954,0.0124126328620212,0.29720790992265417,0.04176414034623602,0.9666867219149485,0.98958759185945,CYP51A1
ENSG00000001631,785.453250774629,-0.03579171945155453,0.0943535780887066,-0.3793361118526412,0.7044382866057515,0.8867116598190252,KRIT1
ENSG00000002016,183.8604225392566,-0.3077947051390311,0.14655449869085324,-2.100206461681556,0.03571068320803248,0.15378741837341542,RAD52
ENSG00000002330,178.05671427404178,0.09208212400324758,0.1221912139358509,0.7535903854068405,0.45109521933697894,0.7249391381159683,BAD
ENSG00000002549,1253.6308363238315,0.1802071733156908,0.1769546927863745,1.0183803010708667,0.3084972600360225,0.5974624986175674,LAP3
ENSG00000002586,8285.421190898867,0.0881382916773402,0.12007423219373903,0.7340316907888249,0.4629294237964584,0.733827491097774,CD99
ENSG00000002746,108.44235916060678,0.11287861443333629,0.3193107029705178,0.35350714330348787,0.7237082744557565,0.89568572695603,HECW1
ENSG00000002822,349.80774087847095,-0.15660042023690315,0.1211047181427961,-1.2930992502889411,0.1959767344135942,0.46151541537118546,MAD1L1
ENSG00000002834,7168.825754035644,0.3985776756469066,0.09372294152580844,4.252722643549877,2.1118707754921435e-05,0.00040460827219520825,LASP1
ENSG00000002919,250.5082487337118,0.39045844756638226,0.13396770333788394,2.9145714813188626,0.003561772310990954,0.02709109754297539,SNX11
ENSG00000002933,540.2695597616619,0.4024330269967273,1.342475767510626,0.29976930439717747,0.7643531306939586,0.9146044791648278,TMEM176A
ENSG00000003056,1065.2702998847788,-0.07081309890517791,0.07385753078001361,-0.9587796688748826,0.33766975352618345,0.6266016508998493,M6PR
ENSG00000003096,377.97730097333374,-0.9199424807269398,0.19566399139587515,-4.701644253314223,2.580748436726896e-06,6.52306415214074e-05,KLHL13
ENSG00000003137,104.51632005898523,-1.1378955021120425,0.6466457513294925,-1.759689133923093,0.07846052918542017,0.2632331468229616,CYP26B1
ENSG00000003249,116.35006723041458,-0.32191544909219705,0.3574852588463985,-0.900499925873909,0.3678542647448729,0.6557034609180716,DBNDD1
ENSG00000003393,851.0946102703632,0.17305397039702802,0.16180874730434558,1.069497003592342,0.28484577831844404,0.5711055413534927,ALS2
ENSG00000003400,80.15705252847879,-0.3861927941093151,0.40939861248412807,-0.9433173008721113,0.3455186291324899,0.6338671847572401,CASP10
ENSG00000003402,2546.6141968086386,1.1834541762088253,0.17339743915760797,6.825096045006385,8.786650988500385e-12,7.976908702450051e-10,CFLAR
ENSG00000003436,4469.515471113917,-0.2091331534106271,0.21162285586648477,-0.9882351911107917,0.32303747709419917,0.6121112460848228,TFPI
ENSG00000003509,290.81491694550766,-0.053963174209447934,0.1037492683395311,-0.5201306483709109,0.6029725182291653,0.8277331697491441,NDUFAF7
ENSG00000003756,2117.4643414940915,-0.18636337623426188,0.07618338971388293,-2.446246838506069,0.014435213422787679,0.08038472393089223,RBM5
ENSG00000003987,25.504318709808643,0.9811467080470231,0.2677655103152443,3.6642012143083864,0.0002481116827777874,0.003210723037238358,MTMR7
ENSG00000003989,38.43973323770939,0.6720541610789481,0.7761292528826436,0.8659049489280978,0.38654228895001475,0.6711828587047236,SLC7A2
ENSG00000004059,1225.3542531808757,0.3696939261424321,0.0917351599034227,4.030013427039751,5.577366690908457e-05,0.000913755498176898,ARF5
ENSG00000004139,84.8826514051604,-0.16752119479965594,0.14830849934944937,-1.1295454780709298,0.2586677960725554,0.5421832611810998,SARM1
ENSG00000004142,1460.11823233908,0.1471019260670562,0.12046243873078945,1.221143516742185,0.22203168568014442,0.49663529512836097,POLDIP2
